C,classifier_name,classifier_params,feature_range,fill_value,fit_time,fold,imputer_name,imputer_params,penalty,predict_time,roc_auc,scaler_name,scaler_params,strategy,criterion,n_estimators
0.01,LogisticRegression,"penalty=l1, C=0.01","(0, 1)",0.0,0.018213272094726562,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.013611078262329102,0.5015366313076237,MinMaxScaler,"feature_range=(0, 1)",constant,,
0.01,LogisticRegression,"penalty=l1, C=0.01","(0, 1)",0.0,0.016642093658447266,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.00946187973022461,0.5,MinMaxScaler,"feature_range=(0, 1)",constant,,
0.01,LogisticRegression,"penalty=l1, C=0.01","(0, 1)",0.0,0.015719175338745117,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.01618790626525879,0.5079420579420578,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(0, 1)",0.0,0.016453027725219727,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.008840799331665039,0.7884405670665213,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(0, 1)",0.0,0.016344070434570312,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.008805036544799805,0.743779121641717,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(0, 1)",0.0,0.021673917770385742,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l1,0.00951385498046875,0.7761238761238761,MinMaxScaler,"feature_range=(0, 1)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(0, 1)",0.0,0.01791214942932129,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.012930154800415039,0.538961038961039,MinMaxScaler,"feature_range=(0, 1)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(0, 1)",0.0,0.014904022216796875,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.008936882019042969,0.5194805194805194,MinMaxScaler,"feature_range=(0, 1)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(0, 1)",0.0,0.015178918838500977,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.008810043334960938,0.5324675324675324,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(0, 1)",0.0,0.015756845474243164,0.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.008762121200561523,0.792257360959651,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(0, 1)",0.0,0.016418933868408203,1.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.010363101959228516,0.7449192029344701,MinMaxScaler,"feature_range=(0, 1)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(0, 1)",0.0,0.019425153732299805,2.0,ModifiedSimpleImputer,"fill_value=0, strategy=constant",l2,0.010142087936401367,0.77997002997003,MinMaxScaler,"feature_range=(0, 1)",constant,,
